product_id,product_name,product_url,category_id,category_name,category_root_name,price,original_price,discount_rate,quantity_sold,rating_average,review_count,is_return_policy,is_freeship_xtra,is_authentic,image_count,video_count,is_brand,brand_name,origin,store_id,store_name,store_review_count,total_follower,is_official,cancel_by_seller_rate,cancel_by_seller_rate_status,return_rate,return_rate_status,China,Japan,Other,South Korea,Thailand,USA,Vietnam,Others
205968335,"TOKYO JAPAN, mã G34. Áo thun nam nữ siêu đẹp. Áo phông thoát nhiệt Goking hàng hiệu",https://tiki.vn/tokyo-japan-ma-g34-ao-thun-nam-nu-sieu-dep-ao-phong-thoat-nhiet-goking-hang-hieu-p205968335.html?spid=205968406,917,Áo thun nam,Thời trang nam,168000.0,168000.0,0.0,4.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,GOKING,Vietnam,18138.0,GOKING,9657.0,3016.0,0.0,0.0,normal,0.0,normal,0,0,0,0,0,0,1,0
196296710,"Áo polo nam ngắn tay, chất thun poly cực mát, co giãn tốt, họa tiết bo phối đường kẻ lạ mắt - FORMENSHOP - FMPS193",https://tiki.vn/ao-polo-nam-ngan-tay-chat-thun-poly-cuc-mat-co-gian-tot-hoa-tiet-bo-phoi-duong-ke-la-mat-formenshop-fmps193-p196296710.html?spid=196296715,917,Áo thun nam,Thời trang nam,350000.0,350000.0,0.0,1.0,5.0,1.0,1.0,1.0,1.0,13.0,1.0,1.0,ARADO FASHION,Vietnam,17914.0,FORMEN SHOP,5223.0,2317.0,0.0,0.0,normal,0.0,normal,0,0,0,0,0,0,1,0
184100954,Áo Thun Nam Cotton Đỏ Sọc Trắng Có Cổ TC393-DST,https://tiki.vn/ao-thun-nam-cotton-do-soc-trang-co-co-tc393-dst-p184100954.html?spid=184100956,917,Áo thun nam,Thời trang nam,699000.0,699000.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,4.0,0.0,1.0,F2 Fashion,Vietnam,8402.0,Thời Trang F2 ( FASHION & FREEDOM),0.0,6.0,0.0,0.0,normal,0.0,normal,0,0,0,0,0,0,1,0
164082610,"DYNAMIC, mã G28. Áo thun hàng hiệu Goking cao cấp cho cả gia đình. Form unisex cho nam nữ, trẻ em. Quà tặng ý nghĩa cho bố mẹ, con cái, bạn bè, doanh nghiệp, hội nhóm",https://tiki.vn/dynamic-ma-g28-ao-thun-nam-in-chu-sieu-dep-ao-phong-nam-thoat-nhiet-goking-hang-hieu-p164082610.html?spid=252042384,917,Áo thun nam,Thời trang nam,179000.0,179000.0,0.0,140.0,4.8,62.0,1.0,1.0,1.0,1.0,1.0,1.0,GOKING,Vietnam,18138.0,GOKING,9657.0,3016.0,0.0,0.0,normal,0.0,normal,0,0,0,0,0,0,1,0
134380574,Áo thun nam kiểu dáng Hàn quốc - phong cách lịch lãm (D2),https://tiki.vn/ao-thun-nam-kieu-dang-han-quoc-phong-cach-lich-lam-d2-p134380574.html?spid=134380632,917,Áo thun nam,Thời trang nam,148000.0,148000.0,0.0,138.0,4.7,52.0,1.0,1.0,0.0,4.0,0.0,1.0,OEM,Vietnam,226391.0,Queen Store NB,347.0,82.0,0.0,0.0,normal,0.0,normal,0,0,0,0,0,0,1,0
124687987,Áo phông nam Aligro ALGPLO65,https://tiki.vn/ao-phong-nam-aligro-algplo65-p124687987.html?spid=124687991,917,Áo thun nam,Thời trang nam,299000.0,335000.0,11.0,,0.0,0.0,1.0,1.0,1.0,5.0,1.0,1.0,Aligro,Vietnam,8094.0,ALIGRO,143.0,115.0,0.0,0.0,normal,0.0,normal,0,0,0,0,0,0,1,0
124161826,Áo Phông Nam Cotton 100% In Hình 3D Cao Cấp Có Big Size - Áo Thun Nam Ngắn Tay Chất Mát Mùa Hè SZone PM92,https://tiki.vn/ao-phong-nam-cotton-100-in-hinh-3d-cao-cap-co-big-size-ao-thun-nam-ngan-tay-chat-mat-mua-he-szone-pm92-p124161826.html?spid=124161846,917,Áo thun nam,Thời trang nam,149000.0,149000.0,0.0,,0.0,0.0,1.0,1.0,1.0,5.0,0.0,1.0,SZone,Vietnam,6903.0,SZone,2932.0,309.0,0.0,0.0,normal,0.0,normal,0,0,0,0,0,0,1,0
113053009,Áo thun nam cổ trụ chữ H bông lúa chuẩn shop cá tính - ÁO THUN NAM CỔ BẺ ĐẸP TEEN VNXK-M156,https://tiki.vn/ao-thun-nam-co-tru-chu-h-bong-lua-chuan-shop-ca-tinh-m156-p113053009.html?spid=113053107,917,Áo thun nam,Thời trang nam,135450.0,135450.0,0.0,,0.0,0.0,1.0,1.0,0.0,5.0,0.0,1.0,OEM,Vietnam,204632.0,TD2000 store,148.0,26.0,0.0,0.0,normal,0.0,normal,0,0,0,0,0,0,1,0
113050830,Áo thun nam Áo phông nam AR rất hot hàng rất đẹp phong cách đẹp cá tính-M189,https://tiki.vn/ao-thun-nam-ao-phong-nam-ar-rat-hot-hang-rat-dep-phong-cach-dep-ca-tinh-m189-p113050830.html?spid=113050893,917,Áo thun nam,Thời trang nam,135450.0,135450.0,0.0,10.0,4.0,5.0,1.0,1.0,0.0,5.0,0.0,1.0,OEM,Vietnam,204632.0,TD2000 store,148.0,26.0,0.0,0.0,normal,0.0,normal,0,0,0,0,0,0,1,0
103348167,Áo Phông Nam Cotton 100% In Hình 3D Cao Cấp Có Big Size - Áo Thun Nam Ngắn Tay Chất Mát Mùa Hè SZone PM68,https://tiki.vn/ao-phong-nam-cotton-100-in-hinh-3d-cao-cap-co-big-size-ao-thun-nam-ngan-tay-chat-mat-mua-he-szone-pm68-p103348167.html?spid=103348187,917,Áo thun nam,Thời trang nam,149000.0,149000.0,0.0,3.0,0.0,0.0,1.0,1.0,1.0,7.0,0.0,1.0,SZone,Vietnam,6903.0,SZone,2932.0,309.0,0.0,0.0,normal,0.0,normal,0,0,0,0,0,0,1,0
